Id,Riddle,Answer
1,"Dari kēchil baju ijau, sudah bēsar baju merah.",Chili.
2,"Luar-nya shurga, dalam-nya nuraka.",Lada.
3,Bara api di-dalam tanah.,Kunyit.
4,Orang tua kuat bērbēdak.,Kundur.
5,"Anak pasang ranjau, ēmak main angin.",Lalang.
6,Dahulu ia bērbuah kemudian bērbunga.,Kabong.
7,"Bērpayong bukan-nya raja, hēndak bērjalan tiada kaki.",Chēndawan.
8,"Bērjalan sa-tapak tērtawa, bērjalan sa-tapak tērtawa?",Jantong pisang.
9,"Bērsisek bukan-nya ikan, bērjambul bukan-nya siul.",Nanas.
10,"Buah bagai gēlok, isi bagai lada hitam.",Kēpaya.
11,Tēmpayan ijau bērisi lada hitam.,Bētek.
12,"Lima di-luar, lima di-dalam.",Manggis.
13,"Pēriok ijau, isi gēragau.",Limau.
14,Itu dia nampak tidak.,Angin.
15,"Sunggoh bērayer, bērkochak tidak.",Tēbu.
16,"Panjang bagai ular, bēsar bagai lēngan.",Daun mēngkuang.
17,"Dari kēchil bērkain, sudah bēsar bērtēlanjang.",Rēbong.
18,Tarek akar gunong bērlari.,Pērahu.
19,Orang tua kuat mēnjahit.,Kēmunchup.
20,"Tērlupa di-bawa, tēringat di-buangkan.",Kēmunchup.
21,"Ada ayer tiada ikan, ada langit tiada bintang.",Kēlapa.
22,Ayer sa-gēlok di-pangkal dahan.,Kēlapa.
23,"Tinggi-nya di-awang-awang, jatoh ka-bawah mēngambil sarang.",Durian.
24,"Di-luar nuraka, di-dalam shurga.",Durian.
